Symbol,Name Company,cafef_exchange,vietstock_exchange,nganh
ACE,CÔNG TY CỔ PHẦN BÊ TÔNG LY TÂM AN GIANG,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT XI MĂNG VÀ CÁC SẢN PHẨM BÊ TÔNG
ACG,CÔNG TY CỔ PHẦN GỖ AN CƯỜNG,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM GỖ/ SẢN XUẤT GỖ ỐP, VÁN ÉP VÀ CÁC SẢN PHẨM GỖ LẮP GHÉP"
ACL,CÔNG TY CỔ PHẦN XNK THUỶ SẢN CỬU LONG AN GIANG,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
ACM,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHOÁNG SẢN Á CƯỜNG,HNX,HNX,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC QUẶNG KIM LOẠI
ACS,CÔNG TY CỔ PHẦN XÂY LẮP THƯƠNG MẠI 2,UPCOM,UPCOM,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG KHÁC
ACV,TỔNG CÔNG TY CẢNG HÀNG KHÔNG VIỆT NAM - CTCP,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG HÀNG KHÔNG
ADC,CÔNG TY CỔ PHẦN MĨ THUẬT VÀ TRUYỀN THÔNG,HNX,HNX,"NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ CÔNG NGHIỆP XUẤT BẢN - NGOẠI TRỪ INTERNET/ ĐƠN VỊ XUẤT BẢN BÁO, ẤN PHẨM, SÁCH VÀ DANH MỤC"
ADG,CÔNG TY CỔ PHẦN CLEVER GROUP,HSX,HOSE,"NGÀNH: DỊCH VỤ CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ/ QUẢNG CÁO, QUAN HỆ CÔNG CHÚNG VÀ DỊCH VỤ LIÊN QUAN/ CÁC DỊCH VỤ KHÁC LIÊN QUAN ĐẾN QUẢNG CÁO"
ADP,CÔNG TY CỔ PHẦN SƠN Á ĐÔNG,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT SƠN VÀ CHẤT KẾT DÍNH"
ADS,CÔNG TY CỔ PHẦN DAMSAN,HSX,HOSE,"NGÀNH: SẢN XUẤT/ SẢN XUẤT SỢI, VẢI/ SẢN XUẤT SỢI, VẢI THÀNH PHẨM"
AFC,CÔNG TY CỔ PHẦN NÔNG LÂM NGHIỆP BÌNH DƯƠNG,UPCOM,OTC,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ HOẠT ĐỘNG HỖ TRỢ CHO NÔNG LÂM NGHIỆP/ CÁC HOẠT ĐỘNG HỖ TRỢ CHO LÂM NGHIỆP
AFX,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU NÔNG SẢN THỰC PHẨM AN GIANG,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT THỨC ĂN CHO ĐỘNG VẬT
AG1,CÔNG TY CỔ PHẦN 28.1,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM MAY MẶC/ SẢN XUẤT SẢN PHẨM MAY MẶC CÔNG NGHIỆP
AGB,CÔNG TY CỔ PHẦN BÌNH PHÚ,,,0
AGC,CÔNG TY CỔ PHẦN CÀ PHÊ AN GIANG,HNX,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
AGD,CÔNG TY CỔ PHẦN GÒ ĐÀNG,HSX,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT THỰC PHẨM
AGE,CÔNG TY CỔ PHẦN MÔI TRƯỜNG ĐÔ THỊ AN GIANG,,,0
AGF,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THỦY SẢN AN GIANG,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
AGG,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
AGM,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU AN GIANG,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ XAY SÁT CÁC LOẠI HẠT VÀ HẠT CÓ DẦU
AGP,CÔNG TY CỔ PHẦN DƯỢC PHẨM AGIMEXPHARM,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
AGX,CÔNG TY CỔ PHẦN THỰC PHẨM NÔNG SẢN XUẤT KHẨU SÀI GÒN,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
ALC,CTCP ÂU LẠC,OTC,OTC,NGÀNH: VẬN TẢI VÀ KHO BÃI/ VẬN TẢI ĐƯỜNG THỦY/ VẬN TẢI ĐƯỜNG THỦY
ALP,CÔNG TY CỔ PHẦN ĐẦU TƯ ALPHANAM,HSX,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT TRANG THIẾT BỊ, DỤNG CỤ ĐIỆN/ SẢN XUẤT CÁC THIẾT BỊ ĐIỆN VÀ DỤNG CỤ KHÁC"
ALS,CTCP LOGISTICS HÀNG KHÔNG,,OTC,0
ALT,CTCP VĂN HÓA TÂN BÌNH,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
ALV,CÔNG TY CỔ PHẦN XÂY DỰNG ALVICO,UPCOM,UPCOM,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC ĐÁ VÀ KHOÁNG SẢN PHI KIM
AMC,CÔNG TY CỔ PHẦN KHOÁNG SẢN Á CHÂU,HNX,HNX,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC ĐÁ VÀ KHOÁNG SẢN PHI KIM
AMD,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KHOÁNG SẢN FLC STONE,HSX,HOSE,"NGÀNH: BÁN LẺ/ KINH DOANH VẬT LIỆU XÂY DỰNG, TRANG THIẾT BỊ LÀM VƯỜN/ KINH DOANH VẬT LIỆU XÂY DỰNG VÀ VẬT TƯ LIÊN QUAN"
AME,CÔNG TY CỔ PHẦN ALPHANAM E&C,HNX,HNX,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
AMP,CÔNG TY CỔ PHẦN ARMEPHACO,UPCOM,UPCOM,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN CÁC THIẾT BỊ, VẬT TƯ CHUYÊN MÔN VÀ THƯƠNG MẠI"
AMS,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG AMECC,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT THIẾT BỊ, MÁY MÓC CÔNG NGHIỆP"
AMV,CÔNG TY CỔ PHẦN SXKD DƯỢC VÀ TRANG THIẾT BỊ Y TẾ VIỆT MỸ,HNX,HNX,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN CÁC THIẾT BỊ, VẬT TƯ CHUYÊN MÔN VÀ THƯƠNG MẠI"
ANT,CÔNG TY CỔ PHẦN RAU QUẢ THỰC PHẨM AN GIANG,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
ANV,CÔNG TY CỔ PHẦN NAM VIỆT,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
APC,CÔNG TY CỔ PHẦN CHIẾU XẠ AN PHÚ,HSX,HOSE,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ HOẠT ĐỘNG HỖ TRỢ CHO NÔNG LÂM NGHIỆP/ CÁC HOẠT ĐỘNG HỖ TRỢ CHO TRỒNG TRỌT
APF,CÔNG TY CỔ PHẦN NÔNG SẢN THỰC PHẨM QUẢNG NGÃI,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
APH,CÔNG TY CỔ PHẦN TẬP ĐOÀN AN PHÁT HOLDINGS,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
API,CÔNG TY CỔ PHẦN ĐẦU TƯ CHÂU Á - THÁI BÌNH DƯƠNG,HNX,HNX,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
APL,CÔNG TY CỔ PHẦN CƠ KHÍ VÀ THIẾT BỊ ÁP LỰC – VVMI,UPCOM,UPCOM,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN MÁY MÓC, THIẾT BỊ VÀ VẬT TƯ"
APP,CTCP PHÁT TRIỂN PHỤ GIA VÀ SẢN PHẨM DẦU MỎ,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT XĂNG DẦU VÀ THAN ĐÁ/ SẢN XUẤT SẢN PHẨM XĂNG DẦU VÀ THAN ĐÁ KHÁC
APT,CÔNG TY CỔ PHẦN KINH DOANH THỦY HẢI SẢN SÀI GÒN,UPCOM,UPCOM,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ CHĂN NUÔI/ NUÔI TRỒNG THỦY SẢN
AQN,CÔNG TY CỔ PHẦN 28 QUẢNG NGÃI,UPCOM,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM MAY MẶC/ SẢN XUẤT SẢN PHẨM MAY MẶC CÔNG NGHIỆP
ARM,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU HÀNG KHÔNG,HNX,HNX,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN MÁY MÓC, THIẾT BỊ VÀ VẬT TƯ"
ASA,CÔNG TY CỔ PHẦN ASA,UPCOM,UPCOM,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG KHÁC
ASD,CÔNG TY CỔ PHẦN SÔNG ĐÀ HÀ NỘI,UPCOM,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ NHÀ THẦU CHUYÊN MÔN/ NHÀ THẦU CHUYÊN MÔN KHÁC
ASG,CÔNG TY CỔ PHẦN TẬP ĐOÀN ASG,HSX,HOSE,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG HÀNG KHÔNG
ASM,CÔNG TY CỔ PHẦN TẬP ĐOÀN SAO MAI,HSX,HOSE,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ CHĂN NUÔI/ NUÔI TRỒNG THỦY SẢN
ASP,CÔNG TY CỔ PHẦN TẬP ĐOÀN DẦU KHÍ AN PHA,HSX,HOSE,NGÀNH: TIỆN ÍCH/ PHÂN PHỐI KHÍ ĐỐT THIÊN NHIÊN/ PHÂN PHỐI KHÍ ĐỐT THIÊN NHIÊN
AST,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG TASECO,HSX,HOSE,NGÀNH: BÁN LẺ/ CỦA HÀNG HÀNG HÓA TỔNG HỢP/ CỬA HÀNG TỔNG HỢP
ATA,CÔNG TY CỔ PHẦN NTACO,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
ATB,CÔNG TY CỔ PHẦN AN THỊNH,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
ATC,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU VIỄN THÔNG A,,OTC,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN CÁC MẶT HÀNG TIÊU DÙNG KHÁC
ATD,CÔNG TY CỔ PHẦN 28 ĐÀ NẴNG,UPCOM,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM MAY MẶC/ SẢN XUẤT SẢN PHẨM MAY MẶC CÔNG NGHIỆP
ATG,CÔNG TY CỔ PHẦN AN TRƯỜNG AN,UPCOM,UPCOM,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC QUẶNG KIM LOẠI
ATP,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ AN THÀNH,,,0
ATS,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM ATESCO,HNX,HNX,NGÀNH: DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG/ DỊCH VỤ ĂN UỐNG/ NHÀ HÀNG ĐẦY ĐỦ DỊCH VỤ
AUM,CÔNG TY CỔ PHẦN VINACAFE SƠN THÀNH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ TRỒNG TRỌT/ TRỒNG TRỌT CÁC LOẠI CÂY KHÁC
AVC,CÔNG TY CỔ PHẦN THỦY ĐIỆN A VƯƠNG,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ PHÁT, TRUYỀN TẢI VÀ PHÂN PHỐI ĐIỆN NĂNG/ PHÁT ĐIỆN"
AVF,CÔNG TY CỔ PHẦN VIỆT AN,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
AVG,CTCP NGHE NHÌN TOÀN CẦU,OTC,,0
B82,CÔNG TY CỔ PHẦN 482,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CẦU ĐƯỜNG, ĐƯỜNG CAO TỐC"
BAF,CÔNG TY CỔ PHẦN NÔNG NGHIỆP BAF VIỆT NAM,HSX,HOSE,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ CHĂN NUÔI/ CHĂN NUÔI HEO 
BAL,CÔNG TY CỔ PHẦN BAO BÌ BIA – RƯỢU – NƯỚC GIẢI KHÁT,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT ĐỒ UỐNG VÀ THUỐC LÁ/ SẢN XUẤT ĐỒ UỐNG 
BAM,CÔNG TY CỔ PHẦN KHOÁNG SẢN VÀ LUYỆN KIM BẮC Á,UPCOM,OTC,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC QUẶNG KIM LOẠI
BAS,CÔNG TY CỔ PHẦN BASA,HSX,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
BAV,CTCP HÀNG KHÔNG TRE VIỆT,,OTC,0
BAX,CÔNG TY CỔ PHẦN THỐNG NHẤT,HNX,HNX,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CHO THUÊ BẤT ĐỘNG SẢN
BBC,CTCP BIBICA,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT ĐƯỜNG VÀ BÁNH KẸO
BBH,CÔNG TY CỔ PHẦN BAO BÌ HOÀNG THẠCH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
BBL,CÔNG TY CỔ PHẦN BOURBON BẾN LỨC,,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT THỰC PHẨM
BBM,CÔNG TY CỔ PHẦN BIA HÀ NỘI - NAM ĐỊNH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT ĐỒ UỐNG VÀ THUỐC LÁ/ SẢN XUẤT ĐỒ UỐNG 
BBS,CÔNG TY CỔ PHẦN VICEM BAO BÌ BÚT SƠN,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT GIẤY/ SẢN XUẤT CÁC SẢN PHẨM TỪ GIẤY
BBT,CTCP BÔNG BẠCH TUYẾT,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT KHÁC/ SẢN XUẤT DỤNG CỤ VÀ THIẾT BỊ Y TẾ
BCA,CÔNG TY CỔ PHẦN B.C.H,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM KIM LOẠI CƠ BẢN/ SẢN XUẤT SẮT, THÉP VÀ HỢP KIM FERO"
BCB,CÔNG TY CỔ PHẦN 397,UPCOM,UPCOM,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC THAN
BCC,CTCP XI MĂNG BỈM SƠN,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT XI MĂNG VÀ CÁC SẢN PHẨM BÊ TÔNG
BCE,CTCP XÂY DỰNG VÀ GIAO THÔNG BÌNH DƯƠNG,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
BCF,CÔNG TY CỔ PHẦN THỰC PHẨM BÍCH CHI,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
BCG,CÔNG TY CỔ PHẦN BAMBOO CAPITAL,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG KHÁC
BCH,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC BẢO CHÂU,,,0
BCI,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BÌNH CHÁNH,HSX,KHÁC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CÁC HOẠT ĐỘNG LIÊN QUAN ĐẾN BẤT ĐỘNG SẢN
BCM,TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP – CTCP,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CHO THUÊ BẤT ĐỘNG SẢN
BCO,CÔNG TY CỔ PHẦN XÂY DỰNG BÌNH PHƯỚC,,,0
BCP,CÔNG TY CỔ PHẦN DƯỢC ENLIE,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
BCV,CÔNG TY CỔ PHẦN DU LỊCH VÀ THƯƠNG MẠI BẰNG GIANG CAO BẰNG - VIMICO,UPCOM,UPCOM,NGÀNH: DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG/ KHÁCH SẠN VÀ PHÒNG Ở/ CHỖ Ở CHO KHÁCH DU LỊCH
BDB,CTCP SÁCH VÀ THIẾT BỊ BÌNH ĐỊNH,HNX,HNX,"NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ CÔNG NGHIỆP XUẤT BẢN - NGOẠI TRỪ INTERNET/ ĐƠN VỊ XUẤT BẢN BÁO, ẤN PHẨM, SÁCH VÀ DANH MỤC"
BDC,TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG - CTCP,UPCOM,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG KHÁC
BDF,CÔNG TY CỔ PHẦN GIÀY BÌNH ĐỊNH,UPCOM,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM DA VÀ LIÊN QUAN/ SẢN XUẤT GIÀY DÉP
BDG,CÔNG TY CỔ PHẦN MAY MẶC BÌNH DƯƠNG,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM MAY MẶC/ SẢN XUẤT SẢN PHẨM MAY MẶC CÔNG NGHIỆP
BDP,CÔNG TY CỔ PHẦN BIỆT THỰ VÀ KHÁCH SẠN BIỂN ĐÔNG PHƯƠNG,OTC,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / CÁC HOẠT ĐỘNG LIÊN QUAN ĐẾN BẤT ĐỘNG SẢN
BDS,CÔNG TY CỔ PHẦN ĐƯỜNG BÌNH ĐỊNH,,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT ĐƯỜNG VÀ BÁNH KẸO
BDT,CÔNG TY CỔ PHẦN XÂY LẮP VÀ VẬT LIỆU XÂY DỰNG ĐỒNG THÁP,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT XI MĂNG VÀ CÁC SẢN PHẨM BÊ TÔNG
BDW,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC BÌNH ĐỊNH,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
