Symbol,Name Company,cafef_exchange,vietstock_exchange,nganh
24H,CTCP QUẢNG CÁO TRỰC TUYẾN 24H,OTC,,0
A32,CÔNG TY CỔ PHẦN 32,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM DA VÀ LIÊN QUAN/ SẢN XUẤT GIÀY DÉP
AAA,CÔNG TY CỔ PHẦN NHỰA AN PHÁT XANH,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
AAM,CÔNG TY CỔ PHẦN THỦY SẢN MEKONG,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
AAT,CÔNG TY CỔ PHẦN TIÊN SƠN THANH HÓA,HSX,HOSE,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN QUẦN ÁO, VẢI VÀ VẬT TƯ LIÊN QUAN"
AAV,CÔNG TY CỔ PHẦN VIỆT TIÊN SƠN ĐỊA ỐC,HNX,HNX,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN THỰC PHẨM, TẠP HÓA VÀ CÁC SẢN PHẨM CÓ LIÊN QUAN"
ABC,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VMG,UPCOM,UPCOM,NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ VIỄN THÔNG/ CÁC LOẠI HÌNH VIỄN THÔNG KHÁC
ABG,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ AN BÌNH,,,0
ABR,CÔNG TY CỔ PHẦN ĐẦU TƯ NHÃN HIỆU VIỆT,HSX,HOSE,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN THỰC PHẨM, TẠP HÓA VÀ CÁC SẢN PHẨM CÓ LIÊN QUAN"
ABS,CÔNG TY CỔ PHẦN DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN,HSX,HOSE,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN DẦU VÀ CÁC SẢN PHẨM DẦU KHÍ
ABT,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THỦY SẢN BẾN TRE,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
AC4,CÔNG TY CỔ PHẦN ACC - 244,UPCOM,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG KHÁC
ACC,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG BÌNH DƯƠNG ACC,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT XI MĂNG VÀ CÁC SẢN PHẨM BÊ TÔNG
